::INSTALLED BLT MODS::

Name: TroubleShooter                                                                                      Path: "mods/Trouble Shooter"
Name: base                                                                                                Path: "mods/SuperBLT"
Name: TestingEnv                                                                                          Path: "mods/Error: No Name!"
Name: CustomOSTMod                                                                                        Path: "mods/Custom OST"
Name: WeaponLib                                                                                           Path: "mods/WeaponLib"
Name: BeardLib                                                                                            Path: "mods/BeardLib"
Name: Holo                                                                                                Path: "mods/HoloUI"
Name: StringIDRevealer                                                                                    Path: "mods/string_id Revealer"
Name: ReLUA                                                                                               Path: "mods/ReLUA"
Name: Sound speed                                                                                         Path: "mods/Sound speed"
Name: Raid Minigame                                                                                       Path: "mods/Raid WW2 minigame"
Name: very simple mod indeed [x]                                                                          Path: "mods/Yes"
Name: Poser                                                                                               Path: "mods/Poser Reborn"
Name: Original Pack                                                                                       Path: "mods/Original Pack"
Name: very simple mod indeed 2                                                                            Path: "mods/Yes2"
Name: Custom Weapon Animations Fixes                                                                      Path: "mods/Custom Weapon Animations Fixes"
Name: BeardLib-Editor                                                                                     Path: "mods/BeardLib-Editor"
Name: pjal3urb-burstfire-64bef3a47c59                                                                     Path: "mods/Burst Fire"
Name: Enable Bag Collision                                                                                Path: "mods/Enable Bag collision"
Name: FreeFlightCamera                                                                                    Path: "mods/Free Flight Camera"
Name: extract_paths                                                                                       Path: "mods/Path Extract"
Name: Attachment descriptions                                                                             Path: "mods/Attachment descriptions"


::INSTALLED BEARDLIB MODS::

Name: A bunch of judge attachments                                                                        Path: "assets/mod_overrides/A bunch of judge attachments"
Name: AK-12                                                                                               Path: "assets/mod_overrides/AK-12"
Name: ALTWAVE - Burning September                                                                         Path: "assets/mod_overrides/ALTWAVE - Burning September"
Name: Astolfo - Uniform Coordinate LAS                                                                    Path: "assets/mod_overrides/Astolfo - Uniform Coordinate LAS"
Name: AUG A3 9mm XS                                                                                       Path: "assets/mod_overrides/AUG A3 9mm XS"
Name: Borderlands 2 Assault Rifles                                                                        Path: "assets/mod_overrides/Borderlands 2 Assault Rifles"
Name: Deck-ARD                                                                                            Path: "assets/mod_overrides/Deck-ARD"
Name: F90MBR Body                                                                                         Path: "assets/mod_overrides/F90MBR Body"
Name: FIghtLite Raider                                                                                    Path: "assets/mod_overrides/FIghtLite Raider"
Name: GG_Shovel                                                                                           Path: "assets/mod_overrides/GG_Shovel"
Name: K-On OST                                                                                            Path: "assets/mod_overrides/K-On OST"
Name: Legendary Armour Skins                                                                              Path: "assets/mod_overrides/Legendary Armour Skins"
Name: Max the Crocodile                                                                                   Path: "assets/mod_overrides/Max the Crocodile"
Name: MGSV Deployment  BGM                                                                                Path: "assets/mod_overrides/MGSV Deployment  BGM"
Name: Micro Deagle                                                                                        Path: "assets/mod_overrides/Micro Deagle"
Name: MK18 Specialist                                                                                     Path: "assets/mod_overrides/MK18 Specialist"
Name: RaccoonGirl                                                                                         Path: "assets/mod_overrides/RaccoonGirl"
Name: Remington Spartan Ultra Short                                                                       Path: "assets/mod_overrides/Remington Spartan Ultra Short"
Name: STF-12                                                                                              Path: "assets/mod_overrides/STF-12"
Name: Tamamo no Mae LAS                                                                                   Path: "assets/mod_overrides/Tamamo no Mae LAS"
Name: TBP TingleDingle-15 Ultimate Space Assault Rifle                                                    Path: "assets/mod_overrides/TBP TingleDingle-15 Ultimate Space Assault Rifle"
Name: TF2 Shotgun Pack                                                                                    Path: "assets/mod_overrides/TF2 Shotgun Pack"
Name: Widowmaker TX                                                                                       Path: "assets/mod_overrides/Widowmaker TX"


::INSTALLED MAPS::

Name: Deathrun                                                                                            Path: "Maps/Deathrun"
Name: empty                                                                                               Path: "Maps/empty"
Name: mc_jewlerystore                                                                                     Path: "Maps/mc_jewlerystore"
Name: minigametesting                                                                                     Path: "Maps/minigametesting"
Name: somemap                                                                                             Path: "Maps/somemap"
Name: someproject                                                                                         Path: "Maps/someproject"
Name: test                                                                                                Path: "Maps/test"
Name: test2                                                                                               Path: "Maps/test2"
Name: testepichaihai                                                                                      Path: "Maps/testepichaihai"


::INSTALLED MOD OVERRIDES::

NONE
